Well;Date_;Daily_Water_Injection_bbl;Monthly_Water_Injection_bbl;Pwh_psi;Pan_psi;Liquid_level_in_anulus_m;Work_Days;Notes
X-3081;1968-11-01;558.0;16759;160.0;0.0;;30;
X-3947;1968-11-01;199.0;5986;0.0;0.0;;30;
X-6566;1968-11-01;49.0;1496;150.0;0.0;;30;
X-5802;1968-11-01;1677.0;50328;0.0;0.0;;30;
X-8953;1968-10-01;1336.0;41444;100.0;0.0;;31;
X-3081;1968-10-01;1628.0;50486;160.0;0.0;;31;
X-8953;1968-09-01;1306.0;39184;160.0;0.0;;30;
X-3081;1968-09-01;1567.0;47021;200.0;0.0;;30;
X-8953;1968-08-01;1609.0;49897;600.0;0.0;;31;
X-3081;1968-08-01;1695.0;52556;640.0;0.0;;31;
X-8953;1968-07-01;1687.0;52308;0.0;0.0;;31;
X-3081;1968-07-01;1777.0;55087;0.0;0.0;;31;
X-8953;1968-06-01;872.0;26183;540.0;0.0;;30;
X-3081;1968-06-01;1066.0;31996;560.0;0.0;;30;
X-9199;1968-06-01;880.0;26414;200.0;0.0;;30;
X-6566;1968-06-01;436.0;13080;150.0;0.0;;30;
X-8953;1968-05-01;717.0;22241;540.0;0.0;;31;
X-3081;1968-05-01;876.0;27184;580.0;0.0;;31;
X-9199;1968-05-01;761.0;23614;260.0;0.0;;31;
X-3947;1968-05-01;794.0;24621;0.0;0.0;;31;
X-8953;1968-04-01;702.0;21084;540.0;0.0;;30;
X-3081;1968-04-01;859.0;25787;520.0;0.0;;30;
X-9199;1968-04-01;860.0;25824;260.0;0.0;;30;
X-3947;1968-04-01;688.0;20644;0.0;0.0;;30;
X-8953;1968-03-01;740.0;22952;580.0;0.0;;31;
X-3081;1968-03-01;687.0;21312;560.0;0.0;;31;
X-9199;1968-03-01;775.0;24045;220.0;0.0;;31;
X-3947;1968-03-01;546.0;16941;0.0;0.0;;31;
X-8953;1968-02-01;958.0;26847;880.0;0.0;;28;
X-9199;1968-02-01;903.0;25293;220.0;0.0;;28;
X-3947;1968-02-01;903.0;25293;0.0;0.0;;28;
X-8953;1968-01-01;1024.0;31744;450.0;0.0;;31;
X-9199;1968-01-01;1035.0;32109;260.0;0.0;;31;
X-3947;1968-01-01;1047.0;32474;0.0;0.0;;31;
X-8953;1967-12-01;840.0;26051;460.0;0.0;;31;
X-3081;1967-12-01;835.0;25905;520.0;0.0;;31;
X-9199;1967-12-01;844.0;26175;0.0;0.0;;31;
X-3947;1967-12-01;839.0;26021;0.0;0.0;;31;
X-8953;1967-11-01;821.0;24652;460.0;0.0;;30;
X-3081;1967-11-01;813.0;24418;500.0;0.0;;30;
X-9199;1967-11-01;802.0;24069;0.0;0.0;;30;
X-3947;1967-11-01;822.0;24660;0.0;0.0;;30;
X-8953;1967-10-01;782.0;24265;220.0;0.0;;31;
X-3081;1967-10-01;778.0;24123;360.0;0.0;;31;
X-9199;1967-10-01;787.0;24407;220.0;0.0;;31;
X-3947;1967-10-01;814.0;25258;0.0;0.0;;31;
X-8953;1967-09-01;741.0;22236;220.0;0.0;;30;
X-3081;1967-09-01;754.0;22642;360.0;0.0;;30;
X-9199;1967-09-01;465.0;13965;960.0;0.0;;30;
X-3947;1967-09-01;822.0;24676;0.0;0.0;;30;
X-6566;1967-09-01;361.0;10847;0.0;0.0;;30;
X-8953;1967-08-01;724.0;22470;220.0;0.0;;31;
X-3081;1967-08-01;720.0;22327;220.0;0.0;;31;
X-9199;1967-08-01;429.0;13310;960.0;0.0;;31;
X-3947;1967-08-01;867.0;26906;0.0;0.0;;31;
X-6566;1967-08-01;415.0;12881;0.0;0.0;;31;
X-8953;1967-07-01;544.0;16877;200.0;0.0;;31;
X-3081;1967-07-01;552.0;17114;200.0;0.0;;31;
X-9199;1967-07-01;700.0;21712;960.0;0.0;;31;
X-3947;1967-07-01;691.0;21428;0.0;0.0;;31;
X-6566;1967-07-01;695.0;21570;0.0;0.0;;31;
X-8953;1967-06-01;537.0;16127;240.0;0.0;;30;
X-3081;1967-06-01;587.0;17639;220.0;0.0;;30;
X-9199;1967-06-01;503.0;15119;260.0;0.0;;30;
X-3947;1967-06-01;697.0;20915;0.0;0.0;;30;
X-6566;1967-06-01;554.0;16631;0.0;0.0;;30;
X-8953;1967-05-01;501.0;15546;100.0;0.0;;31;
X-3081;1967-05-01;541.0;16780;260.0;0.0;;31;
X-9199;1967-05-01;573.0;17767;100.0;0.0;;31;
X-3947;1967-05-01;660.0;20481;0.0;0.0;;31;
X-6566;1967-05-01;501.0;15546;0.0;0.0;;31;
X-8953;1967-04-01;425.0;12762;0.0;0.0;;30;
X-3081;1967-04-01;501.0;15041;0.0;0.0;;30;
X-9199;1967-04-01;683.0;20510;0.0;0.0;;30;
X-3947;1967-04-01;630.0;18915;0.0;0.0;;30;
X-6566;1967-04-01;702.0;21080;0.0;0.0;;30;
X-8953;1967-03-01;617.0;19137;60.0;0.0;;31;
X-3081;1967-03-01;727.0;22554;140.0;0.0;;31;
X-9199;1967-03-01;1019.0;31610;0.0;0.0;;31;
X-3947;1967-03-01;914.0;28363;0.0;0.0;;31;
X-8953;1967-02-01;355.0;9959;60.0;0.0;;28;
X-3081;1967-02-01;565.0;15832;140.0;0.0;;28;
X-9199;1967-02-01;893.0;25025;0.0;0.0;;28;
X-3947;1967-02-01;798.0;22344;0.0;0.0;;28;
X-8953;1967-01-01;226.0;7013;80.0;0.0;;31;
X-3081;1967-01-01;231.0;7176;140.0;0.0;;31;
X-9199;1967-01-01;599.0;18592;0.0;0.0;;31;
X-3947;1967-01-01;441.0;13700;0.0;0.0;;31;
X-6566;1967-01-01;583.0;18103;0.0;0.0;;31;
